2017-08-27 02:10:55,280 [1] INFO  Photon.SocketServer.ApplicationBase - Application start: AppId=EWorldServer; AppPath=E:\GitHub\eWorldGameProject\EWorldGame_Release\Server\deploy\EWorldServer, Type=EWorldServer.EWorldServerApp 
2017-08-27 02:11:17,921 [15] INFO  EWorldServer.EWorldServerApp - 【SYS】游戏服务器启动运行中......
2017-08-27 02:11:17,935 [15] INFO  Photon.SocketServer.ApplicationBase - Application start: AppId=EWorldServer; AppPath=E:\GitHub\eWorldGameProject\EWorldGame_Release\Server\deploy\EWorldServer, Type=EWorldServer.EWorldServerApp 
2017-08-27 02:11:17,949 [15] INFO  Photon.SocketServer.ApplicationBase - Application is stopping: AppId=EWorldServer
2017-08-27 02:11:17,957 [15] INFO  EWorldServer.EWorldServerApp - 【SYS】服务器已经关闭.....
2017-08-27 02:11:17,961 [15] INFO  Photon.SocketServer.ApplicationBase - Application stop: AppId=EWorldServer
2017-08-27 02:20:22,070 [15] INFO  EWorldServer.EWorldServerApp - 【SYS】游戏服务器启动运行中......
2017-08-27 02:20:22,083 [15] INFO  Photon.SocketServer.ApplicationBase - Application start: AppId=EWorldServer; AppPath=E:\GitHub\eWorldGameProject\EWorldGame_Release\Server\deploy\EWorldServer, Type=EWorldServer.EWorldServerApp 
2017-08-27 02:20:22,097 [15] INFO  Photon.SocketServer.ApplicationBase - Application is stopping: AppId=EWorldServer
2017-08-27 02:20:22,105 [15] INFO  EWorldServer.EWorldServerApp - 【SYS】服务器已经关闭.....
2017-08-27 02:20:22,109 [15] INFO  Photon.SocketServer.ApplicationBase - Application stop: AppId=EWorldServer
2017-08-27 02:20:25,770 [1] INFO  Photon.SocketServer.ApplicationBase - Application is stopping: AppId=EWorldServer
2017-08-27 02:20:25,786 [1] INFO  EWorldServer.EWorldServerApp - 【SYS】服务器已经关闭.....
2017-08-27 02:20:25,790 [1] INFO  Photon.SocketServer.ApplicationBase - Application stop: AppId=EWorldServer
2017-08-27 02:20:31,114 [1] INFO  EWorldServer.EWorldServerApp - 【SYS】游戏服务器启动运行中......
2017-08-27 02:20:31,127 [1] INFO  Photon.SocketServer.ApplicationBase - Application start: AppId=EWorldServer; AppPath=E:\GitHub\eWorldGameProject\EWorldGame_Release\Server\deploy\EWorldServer, Type=EWorldServer.EWorldServerApp 
2017-08-27 02:22:21,678 [15] INFO  EWorldServer.EWorldServerApp - 【OK】HandlerManager 初始化成功!
2017-08-27 02:22:21,806 [15] INFO  EWorldServer.EWorldServerApp - 【OK】初始化数据库管理类 db_eworld 成功!
2017-08-27 02:22:21,810 [15] INFO  EWorldServer.EWorldServerApp - 【SYS】游戏服务器启动运行中......
2017-08-27 02:22:21,815 [15] INFO  Photon.SocketServer.ApplicationBase - Application start: AppId=EWorldServer; AppPath=E:\GitHub\eWorldGameProject\EWorldGame_Release\Server\deploy\EWorldServer, Type=EWorldServer.EWorldServerApp 
2017-08-27 02:22:21,828 [15] INFO  Photon.SocketServer.ApplicationBase - Application is stopping: AppId=EWorldServer
2017-08-27 02:22:21,838 [15] INFO  EWorldServer.EWorldServerApp - 【SYS】服务器已经关闭.....
2017-08-27 02:22:21,841 [15] INFO  Photon.SocketServer.ApplicationBase - Application stop: AppId=EWorldServer
2017-08-27 02:22:25,176 [1] INFO  Photon.SocketServer.ApplicationBase - Application is stopping: AppId=EWorldServer
2017-08-27 02:22:25,188 [1] INFO  EWorldServer.EWorldServerApp - 【SYS】服务器已经关闭.....
2017-08-27 02:22:25,193 [1] INFO  Photon.SocketServer.ApplicationBase - Application stop: AppId=EWorldServer
2017-08-27 02:22:31,557 [1] INFO  EWorldServer.EWorldServerApp - 【OK】HandlerManager 初始化成功!
2017-08-27 02:22:31,662 [1] INFO  EWorldServer.EWorldServerApp - 【OK】初始化数据库管理类 db_eworld 成功!
2017-08-27 02:22:31,666 [1] INFO  EWorldServer.EWorldServerApp - 【SYS】游戏服务器启动运行中......
2017-08-27 02:22:31,671 [1] INFO  Photon.SocketServer.ApplicationBase - Application start: AppId=EWorldServer; AppPath=E:\GitHub\eWorldGameProject\EWorldGame_Release\Server\deploy\EWorldServer, Type=EWorldServer.EWorldServerApp 
